Track #0, length 13
 44710052 (1546) module 42, x 5.8725, y -10.1325, z 484.921
 42617538 (1469) module 40, x 4.8825, y -8.4825, z 389.411
 40523994 (1391) module 38, x 4.1125, y -7.1625, z 312.463
 38429678 (1310) module 36, x 3.5075, y -6.0625, z 250.469
 36333813 (1235) module 34, x 3.2325, y  -5.65, z 225.469
 34237693 (1154) module 32, x 3.0125, y -5.2375, z 200.469

Track #42, length 5
 52440253 (1844) module 50, x 8.7575, y -2.6525, z 739.531
 50344137 (1771) module 48, x 8.0975, y -2.4325, z 694.531
 48247763 (1693) module 46, x   7.52, y -2.2675, z 649.531
 46151134 (1620) module 44, x 6.9425, y -2.1575, z 604.531
 44055545 (1545) module 42, x 5.4575, y -1.8275, z 485.982

Track #43, length 6
 52477366 (1845) module 50, x 9.1425, y   5.35, z 739.531
 50378943 (1772) module 48, x 8.6475, y 5.0475, z 694.531
 48280520 (1695) module 46, x 8.1525, y 4.7725, z 649.531
 46182097 (1622) module 44, x 7.6575, y 4.4975, z 604.531
 44081640 (1548) module 42, x 6.3925, y 3.7825, z 485.982
 41981691 (1472) module 40, x 5.3475, y 3.1775, z 390.473

Track #44, length 11
 52582827 (1846) module 50, x 9.7475, y 28.2025, z 739.531
 50477750 (1773) module 48, x 9.1425, y 26.4975, z 694.531
 48372417 (1696) module 46, x 8.5375, y 24.7375, z 649.531
 46267596 (1623) module 44, x 7.9325, y 23.005, z 604.531
 44149224 (1547) module 42, x  6.365, y 18.4125, z 485.982
 41611134 (1463) module 39, x 4.1925, y 12.195, z 324.463
 39510186 (1384) module 37, x 3.3675, y 9.8025, z 262.469
 37411516 (1305) module 35, x 3.0375, y 8.8125, z 237.469
 35312845 (1229) module 33, x 2.7075, y 7.8775, z 212.469
 33214175 (1149) module 31, x 2.3775, y 6.8875, z 187.469
 31115504 (1060) module 29, x 2.0475, y  5.925, z 162.469

Track #45, length 6
 52447393 (1847) module 50, x 10.2975, y -1.1125, z 739.531
 50350253 (1774) module 48, x 9.6375, y -1.085, z 694.531
 48253625 (1697) module 46, x 8.9775, y -1.0025, z 649.531
 46156741 (1624) module 44, x 8.3175, y -0.9475, z 604.531
 44060645 (1550) module 42, x 6.5575, y -0.7275, z 485.982
 41964287 (1471) module 40, x 5.1275, y -0.535, z 390.473

Track #46, length 7
 53071954 (1850) module 50, x 11.7025, y -14.6425, z 738.469
 50978403 (1776) module 48, x 10.9325, y -13.68, z 693.469
 48884853 (1699) module 46, x 10.1625, y -12.7175, z 648.469
 46791303 (1625) module 44, x 9.3925, y -11.7275, z 603.469
 44703157 (1552) module 42, x 7.3575, y -9.1975, z 484.921
 42613723 (1473) module 40, x 5.7075, y -7.1075, z 389.411
 40522745 (1392) module 38, x 4.3875, y -5.4575, z 312.463

Track #47, length 5
 52530551 (1851) module 50, x 12.6075, y 16.8725, z 739.531
 50429313 (1777) module 48, x 12.0575, y 15.9925, z 694.531
 48327819 (1700) module 46, x 11.5075, y 15.0575, z 649.531
 46226581 (1627) module 44, x 10.9208, y 14.2142, z 604.531
 42011586 (1476) module 40, x 8.4825, y 9.7225, z 390.473

Track #48, length 4
 52531308 (1852) module 50, x 13.2125, y 17.0375, z 739.531
 50429817 (1778) module 48, x 12.4975, y 16.1025, z 694.531
 48328327 (1701) module 46, x 11.7275, y 15.1675, z 649.531
 46226581 (1627) module 44, x 10.9208, y 14.2142, z 604.531

Track #49, length 7
 53062869 (1853) module 50, x 13.655, y -7.4375, z 738.469
 50970078 (1779) module 48, x 12.7475, y -6.9425, z 693.469
 48877030 (1702) module 46, x 11.8675, y -6.475, z 648.469
 46784239 (1628) module 44, x 10.9325, y  -5.98, z 603.469
