Track #0, length 7
 44748797 (2072) module 42, x -2.4325, y -5.2375, z 484.921

Track #43, length 5
 53133260 (2479) module 50, x -1.5525, y -7.9325, z 738.469
 51035605 (2381) module 48, x  -1.47, y -7.4375, z 693.469
 48938206 (2282) module 46, x -1.3875, y -6.9425, z 648.469
 46840551 (2177) module 44, x -1.2775, y -6.4475, z 603.469
 44742142 (2074) module 42, x  -1.03, y -5.1825, z 484.921

Track #44, length 12
 53239868 (2481) module 50, x 0.2075, y -29.8225, z 739.531
 51142750 (2382) module 48, x 0.2075, y -27.9525, z 694.531
 49045376 (2283) module 46, x 0.1525, y -26.0825, z 649.531
 46948001 (2178) module 44, x  0.125, y -24.2675, z 604.531
 44850681 (2075) module 42, x 0.0425, y -19.4275, z 485.982
 42639939 (1970) module 40, x 0.0424995, y -15.4675, z 389.411
 40543101 (1862) module 38, x -0.0125008, y -12.2775, z 312.463
 38445995 (1749) module 36, x -0.0125008, y -9.7475, z 250.469
 36348861 (1642) module 34, x -0.0125008, y  -8.73, z 225.469
 34251728 (1529) module 32, x -0.0125008, y -7.7125, z 200.469
 32154594 (1422) module 30, x -0.0125008, y -6.7225, z 175.469
 30057461 (1316) module 28, x -0.0125008, y -5.6775, z 150.469

Track #45, length 5
 53123254 (2482) module 50, x 0.592499, y -9.1425, z 738.469
 51026369 (2383) module 48, x 0.537502, y -8.5375, z 693.469
 48929228 (2284) module 46, x 0.510002, y -7.9325, z 648.469
 46832343 (2179) module 44, x 0.482502, y -7.3275, z 603.469
 44735732 (2076) module 42, x 0.372501, y -5.7325, z 484.921

Track #46, length 7
 53115028 (2483) module 50, x 2.3525, y -10.985, z 738.469
 51018656 (2384) module 48, x 2.1875, y -10.3525, z 693.469
 48922027 (2285) module 46, x   2.05, y -9.7475, z 648.469
 46825654 (2181) module 44, x 1.9125, y -9.1425, z 603.469
 44730066 (2078) module 42, x 1.5825, y -7.575, z 484.921
 42634218 (1973) module 40, x 1.3075, y -6.2825, z 389.411
 40538109 (1864) module 38, x 1.0875, y -5.2375, z 312.463

Track #47, length 7
 53104223 (2484) module 50, x 4.6625, y -13.9275, z 738.469
 51008367 (2385) module 48, x 4.3875, y -13.0475, z 693.469
 48912510 (2286) module 46, x  4.085, y -12.2225, z 648.469
 46816910 (2182) module 44, x 3.7825, y -11.3425, z 603.469
